reference_id,ref_hotel_name,hotel_id,hotel_name,room_name
85,Waldorf Astoria The Palm,1019759,Waldorf Astoria The Palm,"Standard Room,2 Twin Beds,NonSmoking"
86,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE",1103686,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE","Deluxe Room, 2 Twin Beds, Garden View,NonSmoking"
86,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE",1103686,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE","Deluxe Room, 1 King Bed, Garden View,NonSmoking"
86,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE",1103686,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE","Deluxe Room, 2 Twin Beds, Garden View,NonSmoking"
86,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE",1103686,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE","Deluxe Room, 1 King Bed, Garden View,NonSmoking"
86,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE",1103686,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE","Deluxe Room, 2 Twin Beds, Garden View,NonSmoking"
1,Shangri-La Sydney,1151987,Shangri-La Sydney,"Executive Darling Harbour 1 King,1 King Bed,NonSmoking"
1,Shangri-La Sydney,1151987,Shangri-La Sydney,"Executive Opera House City View 1 King,1 King Bed,NonSmoking"
1,Shangri-La Sydney,1151987,Shangri-La Sydney,"Executive Opera House City View 2 Twins,2 Twin Beds,NonSmoking"
1,Shangri-La Sydney,1151987,Shangri-La Sydney,"Horizon Darling Harbour 1 King,1 King Bed,NonSmoking"
1,Shangri-La Sydney,1151987,Shangri-La Sydney,"Executive Darling Harbour 1 King,1 King Bed,NonSmoking"
0,"Hilton Aruba Caribbean Resort & Casino, Aruba",1168701,"Hilton Aruba Caribbean Resort & Casino, Aruba","Room, 1 King Bed, Tower (Bonaire/Curacao Tower, Project View),NonSmoking"
0,"Hilton Aruba Caribbean Resort & Casino, Aruba",1168701,"Hilton Aruba Caribbean Resort & Casino, Aruba","Room, 2 Double Beds, Garden View,NonSmoking"
0,"Hilton Aruba Caribbean Resort & Casino, Aruba",1168701,"Hilton Aruba Caribbean Resort & Casino, Aruba","Room, 1 King Bed, Garden View,NonSmoking"
0,"Hilton Aruba Caribbean Resort & Casino, Aruba",1168701,"Hilton Aruba Caribbean Resort & Casino, Aruba","Room, 1 King Bed, Tower (Bonaire/Curacao Tower, Project View),NonSmoking"
0,"Hilton Aruba Caribbean Resort & Casino, Aruba",1168701,"Hilton Aruba Caribbean Resort & Casino, Aruba","Room, 2 Double Beds, Garden View,NonSmoking"
64,"Chedi Andermatt, Szwajcaria",1001207,"Chedi Andermatt, Szwajcaria","Deluxe Room,1 Double Bed,NonSmoking"
64,"Chedi Andermatt, Szwajcaria",1001207,"Chedi Andermatt, Szwajcaria","Deluxe Room,1 Double Bed,NonSmoking"
64,"Chedi Andermatt, Szwajcaria",1001207,"Chedi Andermatt, Szwajcaria","Deluxe Room (Grand),1 King Bed,NonSmoking"
64,"Chedi Andermatt, Szwajcaria",1001207,"Chedi Andermatt, Szwajcaria","Deluxe Room (Grand),1 King Bed,NonSmoking"
64,"Chedi Andermatt, Szwajcaria",1001207,"Chedi Andermatt, Szwajcaria","Deluxe Suite (Junior),1 King Bed,NonSmoking"
4,"Tortuga Bay Puntacana Resort & Club, Dominikana",1252669,"Tortuga Bay Puntacana Resort & Club, Dominikana","Ocean View Junior Suite,1 King Bed,NonSmoking"
4,"Tortuga Bay Puntacana Resort & Club, Dominikana",1252669,"Tortuga Bay Puntacana Resort & Club, Dominikana","Beach Front Junior Suite,1 King Bed,NonSmoking"
4,"Tortuga Bay Puntacana Resort & Club, Dominikana",1252669,"Tortuga Bay Puntacana Resort & Club, Dominikana","Ocean View Two Bedrooms Suite,1 King Bed and 2 Double Beds,NonSmoking"
4,"Tortuga Bay Puntacana Resort & Club, Dominikana",1252669,"Tortuga Bay Puntacana Resort & Club, Dominikana","Beach Front Two Bedrooms Suite,1 King Bed and 2 Double Beds,NonSmoking"
18,"Ikos Dassia, Korfu",1155574,"Ikos Dassia, Korfu","Double Room, Balcony, Mountain View,1 Double Bed and 1 Twin Bed,NonSmoking"
18,"Ikos Dassia, Korfu",1155574,"Ikos Dassia, Korfu","Double Room, Balcony, Mountain View,1 Double Bed and 1 Twin Bed,NonSmoking"
18,"Ikos Dassia, Korfu",1155574,"Ikos Dassia, Korfu","Double Room, Balcony, Sea View,1 Double Bed and 1 Twin Bed,NonSmoking"
18,"Ikos Dassia, Korfu",1155574,"Ikos Dassia, Korfu","Double Room, Balcony, Sea View,1 Double Bed and 1 Twin Bed,NonSmoking"
25,Marbella Club,1017199,Marbella Club,classic one bedroom
25,Marbella Club,1017199,Marbella Club,"classic one bedroom, view"
25,Marbella Club,1017199,Marbella Club,classic one bedroom
25,Marbella Club,1017199,Marbella Club,premium one bedroom
25,Marbella Club,1017199,Marbella Club,"classic one bedroom, view"
25,Marbella Club,1017199,Marbella Club,"premium one bedroom, view"
25,Marbella Club,1017199,Marbella Club,premium one bedroom
25,Marbella Club,1017199,Marbella Club,"premium one bedroom, view"
25,Marbella Club,1017199,Marbella Club,classic two bedroom
25,Marbella Club,1017199,Marbella Club,classic two bedroom
28,"El Fuerte Marbella, Hiszpania",1170556,"El Fuerte Marbella, Hiszpania","Classic Double Room,1 King Bed,NonSmoking"
28,"El Fuerte Marbella, Hiszpania",1170556,"El Fuerte Marbella, Hiszpania","Superior Double Room,1 King Bed,NonSmoking"
28,"El Fuerte Marbella, Hiszpania",1170556,"El Fuerte Marbella, Hiszpania","Classic Double Room,1 King Bed,NonSmoking"
28,"El Fuerte Marbella, Hiszpania",1170556,"El Fuerte Marbella, Hiszpania","Classic Double Room,1 King Bed,NonSmoking"
28,"El Fuerte Marbella, Hiszpania",1170556,"El Fuerte Marbella, Hiszpania","Superior Double Room,1 King Bed,NonSmoking"
10,"The Stanley, Ateny",1144520,"The Stanley, Ateny","Standard Room,1 Queen Bed,NonSmoking"
